_id,90 Kota Inflasi (2018=100),Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
1,KOTA MEULABOH,0.95,-0.87,0.69,1.22,1.26,1.33,1.12,-0.33,0.49,"","","",""
2,KOTA BANDA ACEH,1.01,-0.34,0.59,1.23,0.92,0.76,0.98,-0.32,0.78,"","","",""
3,KOTA LHOKSEUMAWE,1.12,-0.99,0.85,1.25,1.03,0.45,0.47,-0.98,0.9,"","","",""
4,KOTA SIBOLGA,1.53,-0.21,0.93,0.38,0.85,1.12,1.07,-0.02,0.33,"","","",""
5,KOTA PEMATANG SIANTAR,0.96,0.18,0.77,0.39,0.62,1.36,0.04,-0.79,1.5,"","","",""
6,KOTA MEDAN,1.04,-0.28,0.68,0.43,0.76,1.39,0.27,-0.25,0.98,"","","",""
7,KOTA PADANGSIDIMPUAN,0.9,0.37,1.11,0.78,0.77,1.29,0.59,-0.31,0.99,"","","",""
8,KOTA GUNUNGSITOLI,0.93,0.43,0.39,0.22,0.05,2.72,1.81,-1.43,0.61,"","","",""
9,KOTA PADANG,1.03,0.09,0.72,0.6,1.38,1.16,1.35,-0.97,1.34,"","","",""
10,KOTA BUKITTINGGI,0.95,-0.09,1.18,1.1,1.55,1.28,0.24,-0.91,1.87,"","","",""
11,TEMBILAHAN,1.37,-0.78,1.18,0.55,0.95,0.79,0.91,-1.56,0.89,"","","",""
12,KOTA PEKANBARU,0.71,0.43,0.93,0.57,0.73,2.0,0.88,-1.24,1.56,"","","",""
13,KOTA DUMAI,0.68,-0.38,0.66,0.74,1.51,1.56,0.57,-1.05,1.57,"","","",""
14,BUNGO,1.39,-0.38,1.1,1.25,0.91,1.43,1.05,-1.44,1.1,"","","",""
15,KOTA JAMBI,1.13,-0.85,1.35,1.53,0.78,1.55,1.3,-1.16,0.55,"","","",""
16,KOTA PALEMBANG,0.94,-0.01,0.7,0.96,0.81,0.9,0.76,-0.85,1.28,"","","",""
17,KOTA LUBUKLINGGAU,0.83,-0.05,0.66,0.88,0.98,0.85,0.68,-0.5,1.04,"","","",""
18,KOTA BENGKULU,0.54,-0.1,0.74,1.45,0.53,0.6,0.91,-0.24,1.22,"","","",""
19,KOTA BANDAR LAMPUNG,0.38,-0.4,0.93,0.81,0.58,1.22,0.75,-0.34,1.35,"","","",""
20,KOTA METRO,0.55,-0.2,0.86,1.23,0.64,1.07,0.58,-0.94,1.01,"","","",""
21,TANJUNG PANDAN,0.54,-2.08,1.29,2.58,2.24,-0.03,1.12,-1.65,0.4,"","","",""
22,KOTA PANGKAL PINANG,1.22,-0.53,1.1,1.82,0.85,-0.22,1.01,-1.2,1.04,"","","",""
23,KOTA BATAM,0.74,-0.48,0.73,1.12,0.79,0.84,0.61,-0.5,1.08,"","","",""
