_id,90 Kota Inflasi (2018=100),Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
24,KOTA TANJUNG PINANG,0.38,0.08,0.36,0.84,1.02,0.8,0.66,-0.54,0.92,"","","",""
25,DKI JAKARTA,0.46,-0.05,0.44,0.7,0.06,0.32,0.57,-0.11,1.21,"","","",""
26,KOTA BOGOR,0.53,0.13,0.97,0.68,0.55,0.75,0.55,-0.45,1.18,"","","",""
27,KOTA SUKABUMI,0.59,0.11,0.67,0.78,0.25,0.58,0.43,-0.04,1.33,"","","",""
28,KOTA BANDUNG,0.46,0.14,0.84,1.12,0.37,0.74,0.6,-0.24,0.91,"","","",""
29,KOTA CIREBON,0.55,0.15,0.64,0.72,0.42,0.48,0.36,-0.03,1.12,"","","",""
30,KOTA BEKASI,0.39,0.31,0.38,0.96,0.29,0.49,0.62,0.12,1.38,"","","",""
31,KOTA DEPOK,0.49,0.28,0.85,1.37,0.26,0.53,0.71,-0.01,1.24,"","","",""
32,KOTA TASIKMALAYA,0.45,0.48,1.04,1.36,0.76,0.41,0.57,-0.22,0.95,"","","",""
33,CILACAP,0.66,0.07,1.19,1.68,0.59,0.71,0.35,-0.55,1.11,"","","",""
34,PURWOKERTO,0.67,0.03,0.82,1.65,0.63,0.59,0.39,-0.44,1.15,"","","",""
35,KUDUS,0.77,0.06,0.81,1.27,0.38,0.66,0.38,-0.31,1.65,"","","",""
36,KOTA SURAKARTA,0.41,0.32,0.93,1.47,0.71,0.89,0.35,-0.06,1.3,"","","",""
37,KOTA SEMARANG,0.31,-0.08,0.66,0.86,0.53,0.93,0.59,-0.44,1.13,"","","",""
38,KOTA TEGAL,0.7,0.19,0.89,0.9,1.03,0.63,0.59,-0.64,1.09,"","","",""
39,KOTA YOGYAKARTA,0.59,0.05,0.77,1.14,0.75,0.52,0.47,-0.12,1.05,"","","",""
40,JEMBER,0.46,0.06,1.07,1.43,0.52,0.71,0.67,-0.47,1.37,"","","",""
41,BANYUWANGI,0.4,-0.15,0.92,1.06,0.49,0.61,0.68,-0.55,0.87,"","","",""
42,SUMENEP,0.24,-0.16,1.09,0.95,1.1,0.45,1.04,-1.13,0.95,"","","",""
43,KOTA KEDIRI,0.43,0.2,0.43,1.15,0.08,0.78,0.55,-0.01,1.36,"","","",""
44,KOTA MALANG,0.52,0.18,0.63,1.44,0.51,0.61,0.76,-0.03,1.06,"","","",""
45,KOTA PROBOLINGGO,0.45,-0.18,0.72,1.08,0.47,0.74,0.52,-0.65,0.98,"","","",""
46,KOTA MADIUN,0.44,0.03,0.78,0.97,0.58,0.66,0.63,-0.42,1.28,"","","",""
47,KOTA SURABAYA,0.45,0.04,0.7,0.96,0.49,0.46,0.58,0.26,1.52,"","","",""
48,KOTA TANGERANG,0.46,0.11,1.0,0.97,0.05,0.59,0.21,-0.11,1.06,"","","",""
49,KOTA CILEGON,1.0,-0.34,1.14,1.16,0.26,0.89,0.44,-0.45,1.4,"","","",""
50,KOTA SERANG,0.97,0.28,1.12,0.79,0.84,0.77,0.5,-0.16,1.23,"","","",""
51,SINGARAJA,0.63,-0.84,1.27,0.89,0.58,2.2,0.48,-1.48,0.35,"","","",""
52,KOTA DENPASAR,1.09,-0.36,0.85,1.02,0.73,0.72,0.96,-0.04,0.56,"","","",""
53,KOTA MATARAM,0.66,-0.02,1.08,1.1,0.7,0.86,1.22,-0.71,0.97,"","","",""
54,KOTA BIMA,0.85,-0.25,0.59,1.37,0.48,1.11,1.32,-1.08,1.12,"","","",""
55,WAINGAPU,0.92,0.47,0.19,1.05,0.28,0.2,0.48,-1.47,1.18,"","","",""
56,MAUMERE,1.31,-0.53,0.59,0.54,0.87,0.83,1.51,-1.0,0.57,"","","",""
57,KOTA KUPANG,0.99,0.65,0.09,1.46,0.15,0.51,1.07,-0.86,1.82,"","","",""
58,SINTANG,0.86,0.32,0.88,1.58,1.07,0.49,0.21,-0.96,1.37,"","","",""
59,KOTA PONTIANAK,0.87,0.28,0.43,1.05,0.71,0.07,0.05,0.16,1.58,"","","",""
60,KOTA SINGKAWANG,0.66,0.15,0.2,1.3,1.04,-0.09,0.38,-0.55,1.66,"","","",""
61,SAMPIT,0.58,-0.03,0.97,0.97,0.94,0.89,0.24,-0.5,1.43,"","","",""
62,KOTA PALANGKA RAYA,0.62,-0.01,0.69,0.97,0.93,0.87,0.56,0.28,1.05,"","","",""
63,KOTA BARU,0.92,-0.04,1.06,0.9,1.23,1.32,1.07,0.13,0.73,"","","",""
64,TANJUNG,0.43,0.24,0.64,0.68,1.17,0.85,0.04,-0.87,0.66,"","","",""
65,KOTA BANJARMASIN,1.04,-0.49,0.94,1.22,0.53,0.71,0.31,-0.44,1.56,"","","",""
66,KOTA BALIKPAPAN,0.81,-0.51,1.09,1.33,0.52,0.53,0.73,-0.33,0.88,"","","",""
67,KOTA SAMARINDA,0.91,-0.2,0.4,1.05,0.64,0.42,0.52,-0.2,0.83,"","","",""
68,TANJUNG SELOR,1.35,0.01,1.5,0.6,0.77,1.78,0.34,-0.71,1.32,"","","",""
69,KOTA TARAKAN,0.25,-0.01,0.52,0.73,0.76,0.22,0.5,-0.54,0.97,"","","",""
70,KOTA MANADO,0.17,-0.81,0.4,1.55,0.18,0.85,0.72,-0.37,1.03,"","","",""
71,KOTA KOTAMOBAGU,-0.66,0.16,0.87,1.43,-0.21,1.47,0.68,-0.55,1.23,"","","",""
72,LUWUK,0.62,-0.04,0.92,1.31,0.88,1.01,0.86,0.54,0.37,"","","",""
73,KOTA PALU,1.11,-0.52,1.11,1.42,-0.19,0.29,1.19,0.25,0.52,"","","",""
74,BULUKUMBA,0.51,-0.26,1.12,0.62,0.19,0.46,0.56,-0.6,1.11,"","","",""
75,WATAMPONE,0.41,0.15,1.11,1.21,0.79,1.06,0.52,-0.69,0.92,"","","",""
76,KOTA MAKASSAR,0.56,-0.06,0.49,1.27,0.13,0.29,1.25,-0.29,1.09,"","","",""
77,KOTA PARE-PARE,1.18,-0.02,0.55,0.71,1.88,0.11,0.56,-0.11,1.17,"","","",""
78,KOTA PALOPO,0.36,-0.03,0.45,1.16,0.41,0.4,0.6,0.26,1.74,"","","",""
79,KOTA KENDARI,0.29,-0.09,-0.07,1.8,1.39,-0.61,2.27,0.36,0.43,"","","",""
80,KOTA BUA-BAU,1.14,0.15,0.95,1.12,0.65,0.97,1.43,-0.71,0.47,"","","",""
81,KOTA GORONTALO,-0.22,-0.37,1.25,1.22,0.37,1.65,0.57,-0.53,0.49,"","","",""
82,MAMUJU,1.21,-0.12,0.68,0.71,0.69,0.69,0.88,-0.54,1.08,"","","",""
83,KOTA AMBON,0.34,-0.44,0.48,0.72,0.69,0.08,1.67,0.82,0.3,"","","",""
84,KOTA TUAL,0.2,-1.12,-0.27,1.74,1.22,0.65,1.66,-0.91,1.02,"","","",""
85,KOTA TERNATE,-0.22,-1.11,0.34,0.82,0.27,0.33,1.82,-0.24,0.51,"","","",""
86,MANOKWARI,0.02,-1.43,1.34,1.07,1.54,0.71,0.57,-0.79,-0.64,"","","",""
87,KOTA SORONG,0.99,-1.3,0.22,1.02,0.61,0.39,1.26,-0.82,1.49,"","","",""
88,MERAUKE,0.88,0.35,1.86,0.74,-0.02,-0.19,0.58,-0.85,0.07,"","","",""
89,TIMIKA,-0.42,-0.24,0.63,0.92,0.59,1.04,1.61,0.48,-0.59,"","","",""
90,KOTA JAYAPURA,-0.04,-0.78,0.9,2.38,0.96,0.89,0.53,-0.27,0.79,"","","",""
91,INDONESIA,0.56,-0.02,0.66,0.95,0.4,0.61,0.64,-0.21,1.17,"","","",""
