_id,90 Kota Inflasi (2018=100),Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
25,DKI JAKARTA,0.14,0.18,0.06,0.08,0.41,-0.27,-0.04,0.08,-0.06,0.08,0.4,0.45,1.53
26,KOTA BOGOR,0.19,0.24,0.06,0.24,0.4,-0.17,0.07,0.08,-0.1,0.08,0.26,0.56,1.93
27,KOTA SUKABUMI,0.26,0.07,0.19,0.3,0.09,-0.12,0.1,-0.03,-0.1,0.04,0.57,0.34,1.71
28,KOTA BANDUNG,0.1,0.09,0.15,0.19,0.4,-0.09,0.19,0.09,-0.14,0.07,0.14,0.45,1.65
29,KOTA CIREBON,0.08,0.07,0.07,0.33,0.34,-0.17,0.02,0.09,-0.06,0.08,0.42,0.54,1.81
30,KOTA BEKASI,0.19,0.23,-0.1,0.13,0.25,-0.33,0.19,0.25,-0.12,0.05,0.32,0.54,1.61
31,KOTA DEPOK,0.14,0.2,0.05,0.33,0.65,-0.29,-0.03,0.06,-0.07,0.15,0.28,0.33,1.81
32,KOTA TASIKMALAYA,0.25,0.02,-0.06,0.38,0.11,-0.05,0.08,0.02,-0.24,0.03,0.17,0.46,1.17
33,CILACAP,0.27,0.12,0.03,0.05,0.25,-0.25,0.06,0.06,-0.12,0.23,0.36,0.82,1.88
34,PURWOKERTO,0.35,0.15,0.06,0.04,0.19,-0.2,0.09,0.12,-0.13,0.35,0.4,0.74,2.18
35,KUDUS,0.27,0.2,0.08,-0.07,0.21,-0.09,-0.1,0.15,-0.03,0.14,0.31,0.5,1.59
36,KOTA SURAKARTA,0.68,0.26,0.16,0.02,0.06,-0.22,0.23,0.09,0.01,0.23,0.33,0.71,2.58
37,KOTA SEMARANG,0.14,0.16,0.08,0.05,0.17,-0.14,0.05,-0.06,-0.14,0.24,0.33,0.6,1.49
38,KOTA TEGAL,-0.17,0.25,-0.03,0.08,0.25,-0.36,0.08,-0.16,0.02,0.45,0.46,0.66,1.53
39,KOTA YOGYAKARTA,0.54,0.14,0.08,0.01,0.07,0.05,0.11,0.05,-0.17,0.24,0.45,0.71,2.29
40,JEMBER,0.25,0.12,0.45,0.08,0.11,-0.1,-0.05,0.04,-0.09,0.04,0.31,0.91,2.09
41,BANYUWANGI,0.18,0.09,0.31,0.02,0.27,-0.3,0.23,-0.08,-0.16,0.02,0.28,0.72,1.59
42,SUMENEP,0.06,0.02,0.12,0.53,0.41,-0.58,0.42,-0.16,-0.11,0.02,0.65,1.17,2.57
43,KOTA KEDIRI,0.16,0.07,0.15,0.31,0.13,-0.1,-0.08,-0.08,-0.09,0.18,0.25,0.74,1.64
44,KOTA MALANG,0.06,-0.01,0.08,0.1,0.14,0.08,0.11,0.03,-0.02,0.19,0.26,0.73,1.75
45,KOTA PROBOLINGGO,0.28,0.05,0.18,0.09,0.1,-0.17,0.16,0.06,-0.14,0.13,0.24,0.78,1.76
46,KOTA MADIUN,0.6,0.08,0.19,0.06,0.05,-0.21,0.11,0.15,-0.1,0.09,0.22,0.76,2.0
47,KOTA SURABAYA,0.37,0.29,0.09,0.09,0.33,-0.17,0.2,0.37,-0.13,0.2,0.39,0.65,2.71
48,KOTA TANGERANG,0.32,0.26,0.01,0.15,0.22,-0.22,0.02,0.16,-0.07,0.08,0.17,0.69,1.81
49,KOTA CILEGON,0.34,0.25,0.29,0.22,0.19,-0.02,0.06,-0.06,-0.24,0.18,0.3,0.66,2.19
50,KOTA SERANG,0.46,0.19,0.12,0.19,0.36,-0.05,0.03,0.15,-0.19,0.05,0.18,0.73,2.23
51,SINGARAJA,0.94,0.22,0.81,-0.15,-0.5,-0.52,0.19,-0.07,-0.45,0.08,0.12,1.7,2.39
52,KOTA DENPASAR,0.77,-0.2,0.47,0.46,-0.59,-0.36,-0.07,0.11,0.19,-0.23,0.71,0.75,2.01
53,KOTA MATARAM,0.86,0.34,0.34,-0.25,0.26,-0.31,0.05,-0.18,0.17,0.28,0.05,0.66,2.28
54,KOTA BIMA,0.1,-0.14,0.19,0.3,0.84,-0.32,0.25,0.02,-0.15,-0.09,0.02,0.57,1.57
